date,onions,frac
13/06/2016,57568,0.546003
14/06/2016,57376,0.553539
15/06/2016,57580,0.543457
16/06/2016,57246,0.548469
17/06/2016,57923,0.554571
18/06/2016,55658,0.559933
19/06/2016,55575,0.571216
20/06/2016,58102,0.560697
21/06/2016,57018,0.57758
22/06/2016,58555,0.579684
23/06/2016,56895,0.576121
24/06/2016,54885,0.564977
25/06/2016,55143,0.563663
26/06/2016,54738,0.561401
27/06/2016,58944,0.561636
28/06/2016,58170,0.568733
29/06/2016,56075,0.566607
30/06/2016,55750,0.574351
01/07/2016,55446,0.568194
02/07/2016,56168,0.563879
03/07/2016,55809,0.580331
04/07/2016,54261,0.578647
05/07/2016,55445,0.572335
06/07/2016,56060,0.573459
07/07/2016,56471,0.572777
08/07/2016,55495,0.566813
09/07/2016,55863,0.571979
10/07/2016,55606,0.577967
11/07/2016,56152,0.574908
12/07/2016,56004,0.575122
13/07/2016,55834,0.566105
14/07/2016,54987,0.57376
15/07/2016,54892,0.578696
16/07/2016,53832,0.573405
17/07/2016,50589,0.570251
18/07/2016,51843,0.571319
19/07/2016,53828,0.573704
20/07/2016,48585,0.573792
21/07/2016,47087,0.569264
22/07/2016,51046,0.585819
23/07/2016,51749,0.587519
24/07/2016,54938,0.585674
25/07/2016,55162,0.581664
26/07/2016,54970,0.578784
27/07/2016,55821,0.580285
28/07/2016,49036,0.585431
29/07/2016,53282,0.584228
30/07/2016,56167,0.582628
31/07/2016,55950,0.577091
01/08/2016,57205,0.580579
02/08/2016,58837,0.577146
03/08/2016,53672,0.567803
04/08/2016,54223,0.544283
05/08/2016,55748,0.546332
06/08/2016,57650,0.548049
07/08/2016,55579,0.536709
08/08/2016,55231,0.543917
09/08/2016,53740,0.540204
10/08/2016,53164,0.557383
11/08/2016,53526,0.563681
12/08/2016,54311,0.568137
13/08/2016,58699,0.571184
14/08/2016,60155,0.576838
15/08/2016,57818,0.574851
16/08/2016,58582,0.572701
17/08/2016,59232,0.577161
18/08/2016,58148,0.569473
19/08/2016,59416,0.555406
20/08/2016,59360,0.561343
21/08/2016,56408,0.5562
22/08/2016,59718,0.542237
23/08/2016,60290,0.543739
24/08/2016,58995,0.56224
25/08/2016,58432,0.553341
26/08/2016,59552,0.553848
27/08/2016,61545,0.552035
28/08/2016,59625,0.549636
29/08/2016,59389,0.548565
30/08/2016,59979,0.548797
31/08/2016,57137,0.566518
01/09/2016,58367,0.567722
02/09/2016,58643,0.57488
03/09/2016,55460,0.568997
04/09/2016,54142,0.583961
05/09/2016,54726,0.565608
06/09/2016,58326,0.573431
07/09/2016,62421,0.582149
08/09/2016,60236,0.583862
09/09/2016,58538,0.586958
10/09/2016,58151,0.603187
11/09/2016,57445,0.606184
12/09/2016,57788,0.598547
13/09/2016,57062,0.601694
14/09/2016,56808,0.596657
15/09/2016,57124,0.604542
16/09/2016,56940,0.60642
17/09/2016,58366,0.614588
18/09/2016,56691,0.613877
19/09/2016,56796,0.617468
20/09/2016,56633,0.620632
21/09/2016,56268,0.622777
22/09/2016,55995,0.622355
23/09/2016,55735,0.62006
24/09/2016,55734,0.593031
25/09/2016,55298,0.581153
26/09/2016,50890,0.582387
27/09/2016,49756,0.584886
28/09/2016,53119,0.588525
29/09/2016,52581,0.604822
30/09/2016,50297,0.617622
01/10/2016,48970,0.629995
02/10/2016,49556,0.625258
03/10/2016,50273,0.622875
04/10/2016,50764,0.637262
05/10/2016,52505,0.645817
06/10/2016,52352,0.654761
07/10/2016,51994,0.658084
08/10/2016,53626,0.654224
09/10/2016,51704,0.653164
10/10/2016,53848,0.658288
11/10/2016,53782,0.662546
12/10/2016,53286,0.660805
13/10/2016,55118,0.658533
14/10/2016,53388,0.669683
15/10/2016,51456,0.668183
16/10/2016,51208,0.669991
17/10/2016,55305,0.678106
18/10/2016,59613,0.654807
19/10/2016,61211,0.63116
20/10/2016,62484,0.631069
21/10/2016,59655,0.614483
22/10/2016,59324,0.603957
23/10/2016,57133,0.630227
24/10/2016,59526,0.625173
25/10/2016,52762,0.651679
26/10/2016,53080,0.666202
27/10/2016,53287,0.675276
28/10/2016,52717,0.669067
29/10/2016,51473,0.676135
30/10/2016,52263,0.67266
31/10/2016,52605,0.68484
01/11/2016,57092,0.676017
02/11/2016,59401,0.664089
03/11/2016,59298,0.669348
04/11/2016,59369,0.677863
05/11/2016,58716,0.677366
06/11/2016,58813,0.679126
07/11/2016,59837,0.690636
08/11/2016,62681,0.678646
09/11/2016,65454,0.677318
10/11/2016,64141,0.682712
11/11/2016,62779,0.683831
12/11/2016,58013,0.681053
13/11/2016,53995,0.685392
14/11/2016,61418,0.684542
15/11/2016,61406,0.677572
16/11/2016,61452,0.68292
17/11/2016,60465,0.684771
18/11/2016,60323,0.689505
19/11/2016,61823,0.689223
20/11/2016,61862,0.695969
21/11/2016,63115,0.693772
22/11/2016,62492,0.687996
23/11/2016,62115,0.689953
24/11/2016,59333,0.68483
25/11/2016,57780,0.689089
26/11/2016,58198,0.687259
27/11/2016,57732,0.688643
28/11/2016,57599,0.680455
29/11/2016,59341,0.682693
30/11/2016,58171,0.686135
01/12/2016,56002,0.688658
02/12/2016,59071,0.697319
03/12/2016,59322,0.692669
04/12/2016,59955,0.657325
05/12/2016,61874,0.656188
06/12/2016,61947,0.647585
07/12/2016,61631,0.640477
08/12/2016,60880,0.649616
09/12/2016,60947,0.661607
10/12/2016,60733,0.656583
11/12/2016,60855,0.666981
12/12/2016,62381,0.683661
13/12/2016,63099,0.682373
14/12/2016,63297,0.67375
15/12/2016,62869,0.706289
16/12/2016,63199,0.693392
17/12/2016,63028,0.686693
18/12/2016,61564,0.681333
19/12/2016,62958,0.680115
20/12/2016,63190,0.659592
21/12/2016,62927,0.662838
22/12/2016,60774,0.669894
23/12/2016,57673,0.673002
24/12/2016,56457,0.669312
25/12/2016,47688,0.690789
26/12/2016,47098,0.686889
27/12/2016,51034,0.696942
28/12/2016,57740,0.69083
29/12/2016,58253,0.691974
30/12/2016,57787,0.693598
31/12/2016,56962,0.693392
01/01/2017,56055,0.690845
02/01/2017,56312,0.684881
03/01/2017,51340,0.689244
04/01/2017,50538,0.69773
05/01/2017,49671,0.694059
06/01/2017,48883,0.708848
07/01/2017,49784,0.698051
08/01/2017,49171,0.689883
09/01/2017,49390,0.695935
10/01/2017,55550,0.690914
11/01/2017,60689,0.691872
12/01/2017,59604,0.684611
13/01/2017,59071,0.6836
14/01/2017,61976,0.689539
15/01/2017,62643,0.677595
16/01/2017,64218,0.682382
17/01/2017,63657,0.688667
18/01/2017,63692,0.68966
19/01/2017,63738,0.685667
20/01/2017,63490,0.688797
21/01/2017,61346,0.692962
22/01/2017,61597,0.696528
23/01/2017,62668,0.685964
24/01/2017,64458,0.659919
25/01/2017,64193,0.661647
26/01/2017,62319,0.654532
27/01/2017,62624,0.653448
28/01/2017,63418,0.655437
29/01/2017,62175,0.683649
30/01/2017,62563,0.676639
31/01/2017,64103,0.692836
01/02/2017,62947,0.698437
02/02/2017,60620,0.696368
03/02/2017,60195,0.702858
04/02/2017,61139,0.705115
05/02/2017,60725,0.700187
06/02/2017,54162,0.696963
07/02/2017,52072,0.698356
08/02/2017,51935,0.705333
09/02/2017,53873,0.707162
10/02/2017,54422,0.700746
11/02/2017,53299,0.709818
12/02/2017,52725,0.715987
13/02/2017,52171,0.710522
14/02/2017,53649,0.713329
15/02/2017,53458,0.710361
16/02/2017,53381,0.710102
17/02/2017,53705,0.710608
18/02/2017,53068,0.711945
19/02/2017,52007,0.709905
20/02/2017,52723,0.711245
21/02/2017,51812,0.720045
22/02/2017,52227,0.715415
23/02/2017,52440,0.698776
24/02/2017,52984,0.698198
25/02/2017,53332,0.701705
26/02/2017,53099,0.705149
27/02/2017,53819,0.701587
28/02/2017,55283,0.708149
01/03/2017,53741,0.708801
02/03/2017,53382,0.708738
03/03/2017,53315,0.715797
04/03/2017,53862,0.709318
05/03/2017,54668,0.695804
06/03/2017,55374,0.691203
07/03/2017,54094,0.689161
08/03/2017,53728,0.681543
09/03/2017,53716,0.684037
10/03/2017,54319,0.695541
11/03/2017,53197,0.692006
12/03/2017,54188,0.699821
13/03/2017,53512,0.709428
14/03/2017,53041,0.71382
15/03/2017,53622,0.711659
16/03/2017,52995,0.721261
17/03/2017,54868,0.726715
18/03/2017,124958,0.723223
19/03/2017,92690,0.727734
20/03/2017,55043,0.722569
21/03/2017,54788,0.727624
22/03/2017,62412,0.733755
23/03/2017,52113,0.735763
24/03/2017,52088,0.731792
25/03/2017,54578,0.735146
26/03/2017,87028,0.736126
27/03/2017,57408,0.737561
28/03/2017,52891,0.732155
29/03/2017,53638,0.734309
30/03/2017,52770,0.737395
31/03/2017,53059,0.734854
01/04/2017,53645,0.743921
02/04/2017,54957,0.743371
03/04/2017,55651,0.736142
04/04/2017,57140,0.748111
05/04/2017,58392,0.744339
06/04/2017,57780,0.744325
07/04/2017,56919,0.749449
08/04/2017,55985,0.748091
09/04/2017,56883,0.743294
10/04/2017,56150,0.747543
11/04/2017,69260,0.746653
12/04/2017,65218,0.753641
13/04/2017,66636,0.748254
14/04/2017,55155,0.754959
15/04/2017,58674,0.756646
16/04/2017,60509,0.750934
17/04/2017,61986,0.746665
18/04/2017,63341,0.753539
19/04/2017,63692,0.752591
20/04/2017,56946,0.74917
21/04/2017,52769,0.75363
22/04/2017,52901,0.749508
23/04/2017,53106,0.746661
24/04/2017,53309,0.742107
25/04/2017,54844,0.735422
26/04/2017,53610,0.738382
27/04/2017,52562,0.738123
28/04/2017,52775,0.739246
29/04/2017,53615,0.74802
30/04/2017,52184,0.74835
01/05/2017,52253,0.74669
02/05/2017,54277,0.746241
03/05/2017,53344,0.746934
04/05/2017,52886,0.745112
05/05/2017,52071,0.744251
06/05/2017,51068,0.74605
07/05/2017,50643,0.733816
08/05/2017,50983,0.744611
09/05/2017,51507,0.746862
10/05/2017,51179,0.744098
11/05/2017,51025,0.734977
12/05/2017,50784,0.746202
13/05/2017,51365,0.74403
14/05/2017,49811,0.7431
15/05/2017,50512,0.742735
16/05/2017,52393,0.737934
17/05/2017,54780,0.751704
18/05/2017,59740,0.7359
19/05/2017,60313,0.744761
20/05/2017,60445,0.735335
21/05/2017,60072,0.740254
22/05/2017,59476,0.75377
23/05/2017,60678,0.755264
24/05/2017,60648,0.777879
25/05/2017,59255,0.749668
26/05/2017,59063,0.751664
27/05/2017,58261,0.747746
28/05/2017,58263,0.75043
29/05/2017,58140,0.748031
30/05/2017,59437,0.744589
31/05/2017,58998,0.748877
01/06/2017,59019,0.749605
02/06/2017,58077,0.746847
03/06/2017,58826,0.764798
04/06/2017,58872,0.765371
05/06/2017,58940,0.758178
06/06/2017,58414,0.751066
07/06/2017,58137,0.744667
08/06/2017,57935,0.749789
09/06/2017,58491,0.743327
10/06/2017,58418,0.74399
11/06/2017,58427,0.724586
12/06/2017,58442,0.749138
13/06/2017,58055,0.753246
14/06/2017,55109,0.755284
15/06/2017,55334,0.730033
16/06/2017,55716,0.749057
17/06/2017,55120,0.747916
18/06/2017,55909,0.742548
19/06/2017,54816,0.742818
20/06/2017,55963,0.736392
21/06/2017,55207,0.746662
22/06/2017,55653,0.750358
23/06/2017,56355,0.760585
24/06/2017,55397,0.765129
25/06/2017,55619,0.774619
26/06/2017,55542,0.757768
27/06/2017,54761,0.781686
28/06/2017,53662,0.778805
29/06/2017,53770,0.782998
30/06/2017,53253,0.775128
01/07/2017,52036,0.786309
02/07/2017,52047,0.783817
03/07/2017,52890,0.770186
04/07/2017,52136,0.781417
05/07/2017,53304,0.79131
06/07/2017,52455,0.791993
07/07/2017,52182,0.782704
08/07/2017,52722,0.806889
